Ticker,Support Level 1,Support Level 2,Support Level 3,Support Level 4,Support Level 5,Support Level 6,Support Level 7
MMM,73.08,75.06,76.64,78.32,79.67,82.08,85.08
AOS,64.17,65.24,66.16,66.96,67.75,68.36,69.66
ABT,92.99,97.68,99.7,101.12,101.93,102.81,103.8
ABBV,127.56,131.37,137.48,139.62,142.09,146.67,155.26
ACN,285.36,293.39,297.86,299.97,302.04,305.08,307.38
ADBE,381.06,408.5,436.37,444.78,460.16,477.48,484.28
AMD,96.65,101.67,105.09,108.0,110.7,113.49,116.43
AES,10.3,10.99,11.99,12.52,12.81,13.55,14.66
AFL,66.86,71.07,73.8,75.06,77.81,78.96,80.34
A,106.59,109.36,112.55,116.44,117.98,120.92,125.25
APD,227.99,235.36,247.57,253.35,257.58,260.49,263.64
ABNB,114.98,117.36,121.32,125.06,126.68,128.35,130.47
AKAM,78.79,82.41,88.43,90.08,91.32,92.8,94.19
ALB,60.21,75.72,79.43,85.66,88.97,92.47,95.14
ARE,77.26,91.15,94.11,95.68,97.55,100.47,102.93
ALGN,169.59,184.27,198.06,210.81,215.78,219.7,226.05
ALLE,101.39,103.09,105.26,109.69,114.24,115.89,119.26
LNT,45.9,46.43,46.77,47.24,47.66,48.1,48.42
ALL,103.96,105.7,107.88,116.5,130.37,136.43,153.3
GOOGL,121.98,126.85,129.92,132.09,135.6,137.51,140.51
GOOG,122.82,127.51,131.07,133.43,136.74,138.62,142.04
MO,36.34,36.6,37.04,37.51,37.75,38.05,38.43
AMZN,126.56,129.13,133.09,138.07,144.72,151.37,161.02
AMCR,8.37,8.52,8.62,8.73,8.87,8.93,9.03
AEE,67.9,68.88,69.43,70.23,71.46,72.29,73.31
AEP,70.9,73.29,74.01,75.21,76.41,77.65,78.72
AXP,148.65,154.6,159.73,164.15,169.34,179.58,201.24
AIG,55.1,56.73,58.21,59.39,62.37,65.43,67.35
AMT,163.7,168.6,172.93,175.72,178.65,180.62,182.75
AWK,114.39,116.15,118.36,120.49,122.52,124.98,126.37
AMP,309.16,321.61,328.1,336.76,342.89,368.79,383.62
AME,146.34,149.95,152.95,154.99,156.46,158.74,161.49
AMGN,211.11,222.05,246.9,253.26,256.75,258.98,262.65
APH,39.68,41.14,41.93,42.73,44.19,47.68,50.82
ADI,167.92,171.51,176.1,179.14,182.64,185.29,187.89
ANSS,290.09,296.74,300.76,306.31,312.85,317.45,319.82
AON,286.8,292.56,297.21,305.25,309.9,314.02,317.49
APA,17.25,20.37,21.44,22.13,22.98,24.02,25.89
APO,73.67,78.91,81.83,85.59,88.73,91.23,99.09
AAPL,169.1,172.17,174.79,177.43,180.59,183.09,186.22
AMAT,133.55,136.85,139.15,142.81,146.2,149.12,151.83
APTV,55.52,57.97,60.8,63.19,66.66,68.59,69.53
ACGL,69.58,71.7,73.46,75.69,77.33,79.02,81.35
ADM,46.55,48.05,49.47,50.56,51.28,52.33,54.99
ANET,40.58,44.05,46.17,48.51,53.66,58.88,64.67
AJG,210.51,217.16,222.31,227.17,230.1,233.53,237.6
AIZ,122.77,134.74,137.75,142.99,159.64,163.12,165.56
T,13.07,13.42,13.76,14.15,14.63,15.34,15.74
ATO,106.6,108.64,109.65,110.27,111.12,111.89,112.33
ADSK,201.6,204.61,208.51,211.99,215.0,217.93,222.2
ADP,210.57,221.06,226.31,230.37,233.31,237.49,239.07
AZO,2450.2,2476.95,2521.68,2556.59,2602.18,2661.25,2739.1
AVB,161.95,165.71,168.76,170.32,173.13,175.11,176.79
AVY,164.78,169.68,172.55,176.11,178.2,179.73,182.13
AXON,192.81,196.01,202.09,212.51,225.86,249.54,259.03
BKR,28.38,29.21,30.58,31.37,31.89,32.38,32.74
BALL,47.2,49.39,50.66,51.53,52.13,53.19,54.12
BAC,26.32,27.07,27.69,28.11,29.84,31.79,32.59
BAX,29.45,30.67,31.29,32.3,32.87,33.39,34.09
BDX,205.08,222.03,224.86,226.65,228.22,229.5,230.57
BRK-B,336.9,344.25,349.99,356.14,360.0,363.62,387.15
BBY,62.8,64.83,66.68,68.01,69.4,70.55,71.45
TECH,50.99,59.28,62.29,64.12,66.89,68.15,69.91
BIIB,123.16,140.49,143.66,150.71,164.23,188.38,198.18
BLK,622.9,644.55,662.0,676.52,710.93,740.53,760.74
BX,86.25,93.51,98.49,100.82,107.23,114.53,117.47
BK,40.1,41.3,42.16,42.98,45.07,49.75,53.18
BA,151.02,155.11,159.32,166.81,170.55,173.36,176.56
BKNG,2645.08,2835.91,3003.43,3078.4,3125.97,3386.53,3451.49
BSX,50.86,51.68,52.8,53.62,54.67,56.18,64.37
BMY,39.79,41.98,45.78,46.56,46.93,47.43,47.82
AVGO,80.96,82.86,84.95,86.9,91.07,108.21,120.44
BR,157.22,165.1,173.58,177.58,182.51,190.4,193.19
BRO,66.01,68.82,69.86,70.52,72.3,73.42,77.24
BF-B,32.86,34.19,34.86,39.76,41.6,43.0,43.94
BLDR,115.95,119.97,123.31,127.52,132.61,135.26,139.18
BG,72.95,75.77,77.53,80.3,84.57,86.48,87.9
BXP,48.61,50.54,53.36,56.1,57.57,58.23,58.79
CHRW,70.35,72.21,78.29,80.63,82.24,82.99,84.12
CDNS,228.59,232.52,235.4,241.46,248.9,253.88,259.47
CZR,27.32,30.37,33.26,35.14,36.06,36.54,37.24
CPT,86.5,89.63,91.57,93.09,94.51,95.93,98.32
CPB,37.11,37.77,38.31,38.67,39.19,39.72,40.44
COF,95.83,99.85,103.75,107.72,111.54,126.47,131.56
CAH,84.42,86.83,89.23,90.69,94.4,96.78,98.44
KMX,64.22,66.71,68.23,69.35,70.34,71.77,72.53
CCL,12.36,13.98,14.56,14.91,15.3,15.66,15.9
CARR,46.79,50.12,52.2,53.15,54.0,54.79,55.56
CAT,232.54,241.43,251.21,264.11,272.77,279.21,290.94
CBOE,136.44,142.76,150.67,161.16,169.67,174.1,176.96
CBRE,73.32,76.94,79.01,82.58,84.76,86.0,86.88
CDW,163.93,169.77,173.95,177.74,182.62,188.04,193.87
COR,175.53,181.16,184.47,187.9,195.01,201.45,217.02
CNC,58.48,59.45,60.35,61.58,62.69,63.82,65.34
CNP,25.64,26.33,26.54,26.75,26.95,27.07,27.31
CF,67.07,70.09,71.65,72.82,73.72,74.65,75.45
CRL,139.07,163.12,167.55,178.58,186.16,190.07,193.46
SCHW,51.62,53.42,55.13,57.94,61.36,62.45,63.27
CHTR,271.42,278.13,290.63,298.4,323.39,329.24,334.89
CVX,134.0,135.47,137.62,139.72,140.64,141.5,142.72
CMG,37.01,38.46,40.81,41.55,43.46,45.53,47.1
CB,187.11,195.95,201.03,208.02,216.73,222.5,240.36
CHD,89.65,90.81,91.92,92.93,93.71,95.22,96.42
CI,261.43,271.95,277.03,280.19,283.1,287.63,293.12
CINF,94.87,96.48,97.97,99.17,100.94,103.75,107.8
CTAS,120.16,121.86,124.51,126.75,136.51,144.79,151.37
CSCO,45.24,45.87,46.32,46.77,47.14,47.67,48.06
C,38.46,39.72,42.14,42.98,44.36,48.55,51.76
CFG,23.71,24.55,25.21,25.87,28.18,29.61,30.87
CLX,122.8,127.71,130.37,133.75,135.09,136.46,138.1
CME,168.17,183.4,186.73,188.82,190.8,192.88,195.7
CMS,51.69,53.38,53.93,54.53,55.04,55.53,56.25
KO,53.98,55.6,56.45,56.88,57.33,57.61,57.89
CTSH,62.03,63.9,65.08,65.93,66.72,67.65,68.52
CL,70.33,71.13,72.5,73.36,74.5,76.53,81.33
CMCSA,34.25,35.48,36.25,36.84,37.21,37.59,37.99
CAG,24.41,24.99,25.24,25.55,25.96,26.24,26.45
COP,90.64,95.09,96.86,98.35,100.51,102.28,103.39
ED,83.03,83.86,84.6,85.12,85.69,86.05,86.41
STZ,177.37,182.47,186.76,222.56,227.93,231.55,234.15
CEG,90.91,99.62,105.96,110.68,114.5,118.38,125.75
COO,78.98,81.23,82.9,84.58,86.96,89.21,90.68
CPRT,43.56,44.06,44.65,45.4,47.39,48.89,49.51
GLW,27.17,28.74,29.42,29.9,30.5,31.08,31.5
CPAY,234.84,242.48,251.06,256.31,262.23,269.47,272.86
CTVA,45.21,46.98,48.93,50.06,51.13,52.46,53.2
CSGP,72.63,73.56,74.16,75.15,75.75,76.43,77.05
COST,511.27,529.18,539.15,546.06,566.63,650.63,699.73
CTRA,22.72,23.15,23.32,23.53,23.82,24.17,24.51
CRWD,149.0,152.95,163.03,176.77,207.73,244.36,258.14
CCI,85.15,87.79,88.82,89.74,91.07,92.79,94.2
CSX,28.74,29.57,29.98,30.26,30.92,31.67,32.09
CMI,212.33,219.73,223.39,226.69,230.46,234.92,247.94
CVS,51.3,53.84,54.9,55.61,56.39,57.35,58.96
DHR,194.18,200.83,205.36,208.63,210.82,216.0,221.0
DRI,135.31,140.11,142.0,143.9,147.0,148.9,150.79
DVA,89.59,96.94,99.28,101.94,104.29,106.89,110.79
DAY,51.04,53.53,55.5,57.47,58.85,59.67,61.7
DECK,83.48,86.05,89.24,92.56,104.74,110.66,116.06
DE,353.14,359.76,363.96,368.76,372.47,375.47,379.45
DELL,49.82,53.17,64.28,66.85,69.93,73.41,80.94
DAL,34.62,36.06,37.58,39.24,39.89,40.64,41.41
DVN,31.3,33.64,34.8,36.92,38.07,39.22,40.19
DXCM,68.14,69.55,70.76,72.83,76.27,79.54,84.09
FANG,121.25,129.79,136.22,139.24,141.82,144.18,145.74
DLR,103.44,112.16,115.32,121.6,127.23,130.07,132.65
DG,72.83,74.81,78.08,80.05,82.49,87.7,93.81
DLTR,66.26,68.47,70.34,72.07,73.76,76.29,86.06
D,40.91,42.66,43.55,44.26,44.92,45.58,46.35
DPZ,323.11,344.63,371.19,379.31,387.9,396.35,407.01
DASH,73.16,76.6,80.1,84.36,93.9,100.43,105.47
DOV,134.43,137.27,139.41,141.25,144.02,146.83,152.51
DOW,30.19,37.19,38.39,40.29,43.53,45.29,46.77
DHI,105.24,112.39,116.13,120.43,124.16,125.55,127.31
DTE,93.46,98.19,99.71,101.17,102.66,103.81,105.19
DUK,82.28,83.43,84.2,85.07,86.69,88.47,90.27
DD,64.49,66.16,67.66,68.94,70.06,71.33,72.32
EMN,71.78,74.76,76.56,77.54,79.0,80.09,81.48
ETN,190.79,199.78,209.69,214.08,223.71,232.85,245.66
EBAY,39.78,40.75,41.55,42.0,42.4,42.85,43.77
ECL,165.59,173.77,177.81,180.55,185.21,193.81,197.58
EIX,53.99,56.38,57.82,59.12,60.95,61.81,62.85
EW,65.49,66.9,68.13,68.93,69.63,70.34,71.1
EA,119.53,121.65,125.2,126.68,128.62,130.0,131.82
ELV,383.65,394.49,403.71,413.82,424.67,431.21,435.69
EMR,84.1,86.23,88.35,91.72,92.62,93.69,95.68
ENPH,52.54,61.19,63.53,66.87,73.4,83.54,98.5
ETR,45.63,46.19,46.87,47.49,48.07,48.73,49.37
EOG,105.72,108.06,110.5,112.29,115.03,116.16,117.26
EPAM,168.84,179.71,185.89,191.36,198.0,200.76,208.77
EQT,32.8,33.71,34.57,35.43,36.13,36.48,37.1
EFX,181.28,194.66,202.15,211.25,222.07,228.44,234.47
EQIX,699.05,720.95,733.98,745.07,749.94,756.14,766.53
EQR,53.58,55.44,56.71,57.79,58.62,59.34,60.19
ERIE,205.31,261.01,274.12,282.4,296.76,323.21,340.4
ESS,200.46,205.3,212.02,218.58,222.75,225.69,228.6
EL,61.24,65.89,69.6,73.83,79.73,86.76,90.84
EG,334.33,339.92,344.03,347.36,349.93,353.15,356.66
